show,Alejandra Azcárate,Alex Ortiz,Alison Mandel,Arturo Ruiz-Tagle,Bastián Paz,Belén Mora,Bombo Fica,"Carlos ""El Mono"" Sánchez",Carlos García,Centella,Coco Legrand,"Daniel Muñoz ""El Carmelo""","Daniela ""Chiqui"" Aguayo",Diego Urrutia,Dinamita Show,Dino Gordillo,Edmundo Arrocet,Edo Caroe,El Pampero,Ernesto Belloni,Fabrizio Copano,Felipe Avello,Felo,Fusión Humor,George Harris,Gigi Martin,Gilberto Gless,Gloria Benavides,Hermógenes Conache,Huaso Filomeno,Hugo Goodman,Hugo Varela,Jani Dueñas,Jappening con ja,Javiera Contador,Jenny Cavallo,"Jorge ""Chino"" Navarrete",Jorge Alís,Jorge Romero,"Juan Luis ""Jajá"" Calderón",Juan Pablo López,Julio Sabala,León Murillo,Los Acetatos,Los Atletas de la Risa,Los Indolatinos,Los Locos del Humor,Lucho Miranda,Luis Slimming,Mauricio Palma,Melón y Melame,Memo Bunke,Memo Bunke y Natalia Cuevas,Millenium Show,Nancho Parra,Natalia Cuevas,Natalia Valdebenito,Palta Meléndez,Pamela Leiva,"Paul Vásquez ""El Flaco""",Paulo Iglesias,Payahop,Pedro Ruminot,Piña Colada,Pujillay,Ricardo Meruane,Rodrigo González,Rodrigo Villegas,Rudy Rey,Ruperto,Sandy,Sergio Freire,Stefan Kramer,Zip-Zup,Álvaro Salas,Óscar Gangas
Alejandra Azcárate,1.0,0.06111705885593058,0.8394797090769831,0.07749515276767661,0.13418570755104278,0.4266918448328574,0.20650405950330675,0.6103527522168224,0.02922236934289227,0.20515742644865775,0.36643667509361577,0.01569220528448948,0.6526269720704184,0.21918218904516173,0.3165102416311584,0.291693117362673,0.018111820364901048,0.39033099836704643,0.0843621928451057,0.25544480675568515,0.2162708807876364,0.13376201978976818,0.13754252235422265,0.05572499034785534,0.015378365209780935,0.009781562243489693,0.0028601043299612467,0.08782541780191752,0.12841894812633173,0.2004120060514728,0.09848722286699894,0.2803481850189596,0.5392781467270049,0.020490677093229853,0.2896229014764813,0.6802855301336703,0.12217392968032266,0.22565971007589303,0.0,0.09324070958956387,0.20199378044471578,0.005344065335836464,0.23557191372470837,0.029691015762715614,0.13967185488135092,0.39898310109229096,0.22989056284395773,0.12341937542204966,0.2045841287608167,0.13739445406686396,0.16990094217358062,0.1744055140245364,0.12838980686924717,0.05654458929561561,0.020838667746997476,0.028966135166580555,0.7300150432681514,0.14944646532716083,0.31709886534100146,0.15400585024857547,0.31720651575690206,0.006736397370965654,0.1314578089444312,0.1113755175045809,0.11221996183905751,0.018610042023514267,0.30043801932984243,0.08601771573889146,0.006794342299406875,0.00882934844626258,0.15849568858466803,0.1733172011948516,0.18402390372340685,0.2898926223781053,0.2672546744112284,0.24431148581952386
Alex Ortiz,0.06111705885593058,0.9999999999999998,0.23865719727045648,0.09175562808077116,0.23113911895309505,0.3970649665136069,0.2422200594951281,0.06627368602890736,0.07174737630342383,0.19063022760143813,0.09208342833782046,0.012675151743970615,0.5935953444305017,0.2794271550682491,0.08872875049254751,0.5660033982499053,0.015696323542217488,0.17464752601527664,0.1744635238696039,0.009143890890849831,0.3306445011840782,0.12454960333925413,0.018885331473573075,0.03862019755822633,0.10783757523700085,0.056280426458098304,0.007530915862116658,0.10154598145371374,0.02020057131241276,0.2980016782431391,0.0659812102596865,0.14673641763901776,0.0516323120061382,0.050457607999995165,0.6280883779429955,0.1180423803284421,0.13627842873249488,0.09043176038234604,0.1807807742232364,0.5965106253618678,0.5629269660129155,0.0012897192334392438,0.09191450389666013,0.026777891503548538,0.17228408822872998,0.22541819356732276,0.3330392651858923,0.5317303594718124,0.5204728679308389,0.08362301575260023,0.1628704207735455,0.046035838210578814,0.047356507994372195,0.11891915715250156,0.17397156896664123,0.012472158006401524,0.058630665254228054,0.31649242086928847,0.23096894815204028,0.1736277231192781,0.08130099312980092,0.013867894158506906,0.11476056955794516,0.05688014165875949,0.32449177222576236,0.08160471416231188,0.31229059171222934,0.22424781976736968,0.01960002196598808,0.009623528423533858,0.17894057831268295,0.13930024006805386,0.042626633371927236,0.080768391564872,0.052005037061740984,0.05626365189368589
Alison Mandel,0.8394797090769831,0.23865719727045648,1.0000000000000002,0.24855646206172194,0.31048716363055673,0.4742751998991088,0.37215839715985877,0.5413468946200118,0.06416990352727119,0.39354080519580364,0.43321294047383313,0.02863705457750728,0.7751322504335761,0.3922470371356675,0.5240734796405213,0.38612595374901704,0.18483025671237652,0.5255244854256523,0.2229558598395118,0.23588990130284052,0.22349605752525992,0.349549816421915,0.1304321490348094,0.26920825755808514,0.08261708610955348,0.04025670181008381,0.04589120328239145,0.11515887855640154,0.33547109345760845,0.36827524105689163,0.37460306234783747,0.2712750478114522,0.4462354302642387,0.050985917976905895,0.4205071308948163,0.5601058165900142,0.47963784378283436,0.17905301105189303,0.09130159140429542,0.134021205852223,0.3347234441613084,0.063512752884157,0.223317593238705,0.08977610634439427,0.14067180463481277,0.5634043683621848,0.34714835007778416,0.49522057753290644,0.4483910573865575,0.13566485010185592,0.21232231950555208,0.22387984122204396,0.10598466388492159,0.0524637963103154,0.19283693525232334,0.15703418631018376,0.6218515513994545,0.1680059705056889,0.6204666891353072,0.5110249682682597,0.3156154784859703,0.028623394849033323,0.2404743001104424,0.08404513757316057,0.2509493303933139,0.1790327758288715,0.553416019509314,0.3224248822434789,0.04859864906091477,0.03572618486279097,0.21871915079668172,0.23200800513717484,0.4708438039489339,0.2681646642327078,0.32995289201482836,0.4504604853019436
Arturo Ruiz-Tagle,0.07749515276767661,0.09175562808077116,0.24855646206172194,0.9999999999999999,0.48604406115570514,0.2348667243370972,0.6550141852403653,0.36002976015977817,0.1401583991819473,0.3321374961927594,0.4137665103385338,0.3391015000422256,0.2704852724505637,0.229184586925859,0.7380179252945023,0.36258364974138674,0.18966576137009974,0.33589228475529365,0.10416914534970863,0.17285567324357945,0.4373821042920836,0.5104857559642152,0.25395804942326494,0.5307362562811193,0.07413878476792296,0.5776074054982351,0.02525324473673274,0.1795030339751315,0.3899081829489718,0.30372333716476596,0.36791467429146885,0.1902168678917817,0.3869148868772812,0.23402220525249048,0.3601946915156183,0.15481352192336187,0.5449760693282855,0.26337785686758863,0.11059694049718995,0.18759478370566263,0.46314076863706216,0.28555149771488186,0.18828934786558454,0.43336211116894147,0.09593128156742692,0.386415069220296,0.1725184773261779,0.2976713799974618,0.3492079155953314,0.2306344323177284,0.6385455594583895,0.4350138804778735,0.1013224171943248,0.6162343562954143,0.6795681261543978,0.17134180070395424,0.18849805311713302,0.45203423329216585,0.3046718083680074,0.5978488960430571,0.223946369570574,0.12087685226180137,0.515010734266751,0.23265902236129365,0.23192155812301185,0.3145853845846849,0.4159569903800369,0.5264529920544845,0.20388567128926655,0.47411719538646546,0.3762464175817397,0.3921718560115447,0.4757220672325697,0.1957586930940691,0.4710338720634544,0.36588110209924735
Bastián Paz,0.13418570755104278,0.23113911895309505,0.31048716363055673,0.48604406115570514,0.9999999999999999,0.2425909447782752,0.45483680025648376,0.2334040045648286,0.2922494830298611,0.30307008752774567,0.3704246890997882,0.1882004430487693,0.40794553335130196,0.4041331211741546,0.5542991445883182,0.4691472094884262,0.1591785759322094,0.26406511275580713,0.44216603730596404,0.14952953955799364,0.3138325322518376,0.29827299105205435,0.06581195606697587,0.4572393610649032,0.07785613512481299,0.16211070570987732,0.008604051309590783,0.2901691333618797,0.2107504789559638,0.23979627047378244,0.23244072501808316,0.19664932746985264,0.5135541332228928,0.31076741382665435,0.3328351508299605,0.33805904442635204,0.3993105924367851,0.2351928015964619,0.12571630252214638,0.1582075269170966,0.23940286699694446,0.04473410571111797,0.37114008435745405,0.2363084942352283,0.2107309731753448,0.3808444232533174,0.3002047077026506,0.3042879338980963,0.2359815955921276,0.27455607542030763,0.45857562615915454,0.0656123650525079,0.03832023037467385,0.5174963538086864,0.403207557975964,0.2330301417687007,0.19990959373151873,0.4740710963979649,0.3294700175876204,0.4354674204530435,0.08051832934869332,0.14830572954735582,0.21316886209805438,0.020632655473776778,0.208127084276871,0.2541393579919861,0.3677883672759476,0.4225994333713047,0.10207395124144357,0.5699554408217381,0.4523855825703742,0.2108832351417926,0.33139884147798443,0.2743627678741153,0.19425316449907273,0.407743318299821
Belén Mora,0.4266918448328574,0.3970649665136069,0.4742751998991088,0.2348667243370972,0.2425909447782752,1.0,0.44567428188603175,0.07866735740435446,0.024308880829049275,0.20307733399929007,0.0944528251319045,0.06383743780564097,0.6608080862470865,0.12399983569374379,0.20720086066789248,0.3301820949578537,0.03785823798591037,0.573376987133441,0.0051309723792987184,0.2726265307415938,0.1290212088223461,0.4025898400700435,0.00685561533358094,0.12692651002430377,0.11761532511482838,0.0758963632420103,0.0,0.023960306451615128,0.0645929098857912,0.08182418800306093,0.16151476529548886,0.12048964961538473,0.30218382209110706,0.010442216171809557,0.45973081259447696,0.3258476907507306,0.12278842805513947,0.12646160527146483,0.00863785862325444,0.08934525276517646,0.15373085067198164,0.005536878944027433,0.09021470950026807,0.07916675363726078,0.023996442763479783,0.17342083995800003,0.2932549998261456,0.12648761015193744,0.13809088625494062,0.02294678431162895,0.2295387580861498,0.021039395168738192,0.006205376880297384,0.13531785375894329,0.10440284715069932,0.025174132606961327,0.13851908783812855,0.06901241155799828,0.36540262852288047,0.28370028569302846,0.15382605803361127,0.005166277994550981,0.33987879645952124,0.0013025508058192548,0.351142576333276,0.05625846905581598,0.34324672274784057,0.1389504543373294,0.005493419255757762,0.06173181468706867,0.1770784375482831,0.2916311606069322,0.14938336022703375,0.10066505622753202,0.18655790109496545,0.08075000749335201
Bombo Fica,0.20650405950330675,0.2422200594951281,0.37215839715985877,0.6550141852403653,0.45483680025648376,0.44567428188603175,1.0,0.2926377845132227,0.23597397845656562,0.29216992792689317,0.4629199886468011,0.10643987003255376,0.5105834551589309,0.21994853329238234,0.42595067827557037,0.38261748072456786,0.2475548026137469,0.4001902213074579,0.18728313578931127,0.29830892284471433,0.5251369370692265,0.6316439165350121,0.1935563942726642,0.34033375235275787,0.14384219551980104,0.2430059396376996,0.18627949106169253,0.3502392734075804,0.44564312535102923,0.3638804399827513,0.37297382369790133,0.26308984436467286,0.27467220393857,0.3382280627588788,0.24982975862696838,0.2317287405922956,0.2885513879149889,0.4460312614890129,0.07291321647260042,0.27673249356666585,0.514708662607358,0.24208327920476067,0.23640666793015905,0.18156375489397866,0.08466655682336763,0.5669366246611665,0.3917168433068656,0.21180697594901962,0.352528468060909,0.3158893959375155,0.4152400000729702,0.40712323044235843,0.1645103361609094,0.3228893101218981,0.3120960991725078,0.2665159088798144,0.3293239800236655,0.5692458421616399,0.3653307047313602,0.5433034268078746,0.3227658361789356,0.08620908174449247,0.7748351605403965,0.28835408999066714,0.5311314051387389,0.3607869915631701,0.587735751255983,0.46855048894655343,0.1611324054931243,0.2505471935811707,0.2872032567950486,0.6244148399378551,0.30196498345455186,0.29084637062392327,0.5428338420387262,0.4412491709896417
"Carlos ""El Mono"" Sánchez",0.6103527522168224,0.06627368602890736,0.5413468946200118,0.36002976015977817,0.2334040045648286,0.07866735740435446,0.2926377845132227,0.9999999999999998,0.07008066453135219,0.10895239700584149,0.39612475215723736,0.036624932959100305,0.378938340038775,0.33619958797500665,0.3726456114967397,0.43547120006300133,0.023686855902643685,0.05206778167138377,0.2964177643581155,0.31075059197433896,0.36846525000034547,0.08067737543438723,0.3650886914350503,0.057162405929226806,0.062424852007903105,0.48086908227640635,0.009062305240879571,0.19571512201350744,0.15111172937115086,0.42547238703019974,0.05168179258722766,0.3393740197566421,0.30141157887826275,0.1062608467548003,0.2888591084657743,0.6103362019732121,0.18433329539701812,0.24684578423159437,0.09548014191883504,0.10260137077780321,0.26809206055544055,0.2514531634749499,0.2684996178393916,0.07682059370388483,0.22341041231458972,0.36269118847417636,0.3354956796993141,0.17376783567716436,0.2314407412274345,0.16230990511009566,0.5069986980566701,0.3826584908155087,0.13352554900498467,0.1612394155396304,0.09611736893701273,0.07165388566469465,0.5601910770559413,0.1511737686380536,0.2058977444803727,0.2121747200845169,0.3419635845409977,0.03598132793619357,0.12860887156947673,0.27485658870795887,0.16190004171007544,0.044650505834402526,0.41610784573400394,0.32797962390331115,0.009870184808093442,0.17066182764161114,0.26706300745693107,0.21325880196405766,0.15468161270223107,0.4237321596419263,0.3208440836467665,0.2969527131267476
Carlos García,0.02922236934289227,0.07174737630342383,0.06416990352727119,0.1401583991819473,0.2922494830298611,0.024308880829049275,0.23597397845656562,0.07008066453135219,0.9999999999999999,0.05437609470399011,0.2327783629827564,0.7297258349353026,0.06428631864515194,0.5135698776821493,0.2426603343500559,0.19616664465261546,0.6863383457272041,0.16044874410058935,0.29868981082669294,0.1739433226350616,0.39866335962481664,0.2662492568752839,0.6777749546133559,0.2995785343833663,0.13341731415645997,0.18063117649842955,0.5856901042792655,0.6544660589770396,0.07645341915705327,0.18793816822699919,0.40075569262752336,0.5218266398915506,0.32733236344173283,0.350013315712854,0.18990982381558377,0.029295724814115277,0.07494390794526025,0.058834671975265034,0.6375751115676614,0.23277955115962487,0.0856381334300058,0.7113769608738837,0.21596452330748558,0.5670249606048338,0.18039334266068724,0.49147761200565493,0.33146066524927587,0.04172968993040273,0.0677453739961022,0.3546565809078385,0.2856336908631683,0.2475525415378013,0.7282782403112594,0.277404688229812,0.28232661427612404,0.499055858197558,0.03860813042062547,0.14138955183433463,0.2845221576885521,0.054527456021036126,0.08978219790847623,0.656001744415905,0.20922867006461227,0.31602048962478213,0.31200875358110364,0.21770553779102328,0.16019506443195855,0.45454890120489977,0.7596603435185116,0.34150954524638044,0.3698384628847653,0.1467749599627663,0.33572142031080915,0.16248847358393056,0.08732918267285476,0.15288596935573928
Centella,0.20515742644865775,0.19063022760143813,0.39354080519580364,0.3321374961927594,0.30307008752774567,0.20307733399929007,0.29216992792689317,0.10895239700584149,0.05437609470399011,1.0,0.42668940114031156,0.01710153076272806,0.3845251396819739,0.28167882036138103,0.4281361495021858,0.3892971597024717,0.3680964386828867,0.4257002690485335,0.06546346976450262,0.4602085240187905,0.2712814886440761,0.386440299279878,0.25055094461200944,0.41951912737777125,0.10935761831322234,0.20902008714820583,0.11975128217702048,0.0981810513160611,0.6098829120020545,0.1268102666491549,0.3955425046598896,0.06518079111827849,0.3144969973482809,0.024949333685583323,0.5057951032837716,0.288516383855603,0.5164317345172543,0.2663026926048394,0.08718411676233433,0.17058718114657115,0.5383482886857659,0.043121371070452885,0.27222288790878213,0.005503202832198733,0.18956052686965727,0.37335762611086426,0.2005984685255244,0.5780045306419607,0.2886961389714253,0.18735422904383442,0.16589726468974383,0.10925208231603165,0.09617404791566066,0.05350281225525592,0.21580310682665887,0.5038944316761516,0.2428871819651839,0.47775256487605033,0.4711756928868376,0.41602467800365506,0.19871684796702366,0.42784042383031756,0.23677406679301471,0.0009708838432921736,0.07430911199866934,0.635556129933981,0.31511642094492015,0.31025712017519874,0.020984792556872394,0.0344169800655622,0.5008381347309879,0.18227121446325892,0.5414264029163324,0.3562206001496937,0.3059981039982542,0.3882182381673393
